binghamton,5,2022-11-23,H,Columbia,W,81.0,79.0,27.0,59.0,0.458,11.0,27.0,0.407,16.0,20.0,0.8,9.0,29.0,16.0,5.0,1.0,9.0,20.0,27.0,50.0,0.54,8.0,22.0,0.364,17.0,22.0,0.773,6.0,31.0,11.0,3.0,1.0,13.0,21.0
binghamton,6,2022-11-26,@,La Salle,L,62.0,65.0,21.0,47.0,0.447,4.0,15.0,0.267,16.0,24.0,0.667,4.0,32.0,11.0,5.0,3.0,20.0,19.0,23.0,60.0,0.383,8.0,26.0,0.308,11.0,18.0,0.611,7.0,25.0,12.0,11.0,4.0,10.0,20.0
binghamton,7,2022-11-30,H,Loyola (MD),L,70.0,84.0,29.0,59.0,0.492,4.0,16.0,0.25,8.0,11.0,0.727,10.0,28.0,14.0,7.0,8.0,14.0,17.0,32.0,57.0,0.561,11.0,22.0,0.5,9.0,12.0,0.75,6.0,23.0,22.0,6.0,1.0,12.0,11.0
binghamton,8,2022-12-03,H,Stonehill,L,66.0,69.0,25.0,62.0,0.403,9.0,28.0,0.321,7.0,13.0,0.538,10.0,36.0,10.0,4.0,3.0,15.0,20.0,21.0,48.0,0.438,10.0,20.0,0.5,17.0,21.0,0.81,4.0,30.0,11.0,7.0,6.0,11.0,15.0
binghamton,9,2022-12-07,H,Colgate,L,62.0,81.0,24.0,48.0,0.5,4.0,14.0,0.286,10.0,16.0,0.625,4.0,24.0,7.0,3.0,1.0,13.0,14.0,30.0,55.0,0.545,10.0,21.0,0.476,11.0,15.0,0.733,7.0,23.0,11.0,10.0,1.0,9.0,15.0
binghamton,10,2022-12-09,@,Fordham,L,62.0,77.0,22.0,58.0,0.379,3.0,13.0,0.231,15.0,23.0,0.652,10.0,33.0,10.0,7.0,1.0,17.0,23.0,23.0,52.0,0.442,8.0,19.0,0.421,23.0,33.0,0.697,8.0,36.0,13.0,10.0,8.0,16.0,21.0
binghamton,11,2022-12-17,H,SUNY-Oneonta,W,86.0,58.0,32.0,63.0,0.508,6.0,20.0,0.3,16.0,26.0,0.615,11.0,36.0,14.0,7.0,8.0,10.0,17.0,24.0,68.0,0.353,2.0,11.0,0.182,8.0,15.0,0.533,16.0,34.0,6.0,6.0,6.0,17.0,20.0
binghamton,12,2022-12-21,@,Niagara,L,67.0,73.0,25.0,58.0,0.431,5.0,17.0,0.294,12.0,15.0,0.8,7.0,25.0,2.0,8.0,3.0,9.0,19.0,23.0,44.0,0.523,6.0,12.0,0.5,21.0,25.0,0.84,2.0,25.0,7.0,3.0,5.0,13.0,11.0
binghamton,13,2022-12-29,@,Cornell,L,70.0,86.0,30.0,56.0,0.536,3.0,15.0,0.2,7.0,12.0,0.583,10.0,31.0,11.0,2.0,5.0,20.0,19.0,30.0,58.0,0.517,8.0,21.0,0.381,18.0,23.0,0.783,8.0,25.0,12.0,16.0,1.0,9.0,15.0
binghamton,14,2022-12-31,@,Bryant,L,78.0,82.0,28.0,72.0,0.389,6.0,24.0,0.25,16.0,18.0,0.889,10.0,32.0,15.0,6.0,2.0,6.0,22.0,24.0,52.0,0.462,8.0,22.0,0.364,26.0,31.0,0.839,5.0,33.0,13.0,6.0,4.0,11.0,17.0
